"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-451927","Interleukin-2 family signaling","18/1055","44/10899",4.31966441115806e-08,5.24250180808728e-06,5.02238493737516e-06,"STAT1/IL2RB/IL21R/LCK/JAK3/PIK3CD/IL2RA/CSF2RB/INPP5D/PTK2B/STAT4/IL2RG/JAK2/HAVCR2/PTPN6/IL21/IL9R/IL15",18
"R-HSA-202733","Cell surface interactions at the vascular wall","34/1055","137/10899",1.83367484025553e-07,2.03996325978427e-05,1.95431134290392e-05,"ITGA4/SELL/LCK/ITGAL/SIRPG/SPN/CD84/FN1/CD2/GRB14/CD48/ITGB2/SLC7A6/ITGAX/VPREB3/INPP5D/FCAMR/CD244/JAML/SELPLG/ITGAM/SLC16A3/MMP1/SLC7A7/GPC1/HRAS/PTPN6/GAS6/SLC7A10/CD74/TNFRSF10A/OLR1/CXADR/ATP1B2",34
"R-HSA-202403","TCR signaling","31/1055","120/10899",2.42867999149865e-07,2.4940675297313e-05,2.38934914143389e-05,"PTPRC/ITK/FYB1/CARD11/LCK/CD3D/ZAP70/TRAT1/PAG1/GRAP2/HLA-DQA1/CD3E/CD3G/LCP2/PTPN22/HLA-DRA/HLA-DPA1/INPP5D/CD247/HLA-DQB1/PRKCQ/HLA-DQB2/WAS/CD4/CD101/PSMB9/PLCG2/HLA-DRB1/PTPRJ/PSMB8/PSMB10",31
"R-HSA-216083","Integrin cell surface interactions","23/1055","85/10899",3.64853204617188e-06,0.000325455542626013,0.000311790644029652,"ITGA4/ITGB7/ITGAL/FN1/ICAM3/ITGB2/ITGAX/VCAM1/ICAM1/COL7A1/ITGAM/COL9A2/COL23A1/COL10A1/ITGAE/COL4A4/ITGAD/COL9A3/ITGB5/ITGA7/COMP/COL4A3/COL6A5",23
"R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","13/1055","32/10899",3.65680384973048e-06,0.000325455542626013,0.000311790644029652,"CD22/CD19/CD79A/BLK/VAV1/PIK3CD/BTK/DAPP1/PIK3AP1/BLNK/CD79B/PLCG2/PTPN6",13
"R-HSA-449147","Signaling by Interleukins","75/1055","473/10899",1.02430699800946e-05,0.000854656151464144,0.000818771712224668,"CXCL10/STAT1/MMP9/CCR5/IL2RB/IL21R/NLRC5/LCK/IL7R/PTPN7/IL16/CCL5/CCR2/FN1/LCP1/IL10RA/JAK3/VAV1/IL12RB1/PIK3CD/IL2RA/ITGB2/CASP8/ITGAX/CSF2RB/INPP5D/CD4/PTK2B/BLNK/STAT2/STAT4/IL2RG/VCAM1/ICAM1/ITGAM/PSMB9/MMP1/JAK2/CCL19/SOCS2/BIRC5/HAVCR2/CD86/PTPN6/PSMB8/IL31RA/NOD2/IL21/TWIST1/VIM/PSMB10/IL18/IFNG/IRF4/IL9R/CCL11/USP18/IL20RA/FASLG/CEBPD/CCR1/CD80/IL18BP/IL32/PTAFR/NDN/IL15/IL18RAP/IL12B/CTF1/LMNB1/CRLF1/MAPK10/OSM/CD36",75
"R-HSA-2172127","DAP12 interactions","15/1055","45/10899",1.17488262534296e-05,0.000922628414607559,0.000883890024638821,"LCK/KLRD1/GRAP2/LCP2/BTK/KLRK1/KLRC4-KLRK1/PLCG2/HRAS/B2M/HLA-C/SIGLEC14/HLA-B/SIGLEC15/SIRPB1",15
"R-HSA-5661231","Metallothioneins bind metals","7/1055","11/10899",1.81678709273312e-05,0.0013474504271104,0.00129087503957353,"MT1X/MT1M/MT1A/MT1G/MT2A/MT1E/MT1F",7
"R-HSA-1474244","Extracellular matrix organization","51/1055","300/10899",4.38835306833951e-05,0.00308339544538592,0.00295393295181857,"ITGA4/MMP9/ITGB7/COL11A1/ITGAL/ADAM19/FN1/ICAM3/SCUBE3/ITGB2/ITGAX/ADAM8/VCAM1/ICAM1/COL7A1/ITGAM/MMP1/COL9A2/MMP13/COL23A1/COL10A1/CTSS/MMP15/ITGAE/CD151/COL4A4/PLOD2/ITGAD/P3H3/PDGFA/COL9A3/COL19A1/ITGB5/BMP7/ITGA7/MMP25/COMP/COL4A3/COL6A5/TIMP2/HTRA1/MATN4/FBN3/LAMB3/PCOLCE2/LRP4/NCAM1/LOXL4/LAMC3/TNR/ELANE",51
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","24/1055","108/10899",7.98783213283691e-05,0.00533187794866863,0.00510800844284044,"STAT1/MMP9/FN1/JAK3/ITGB2/ITGAX/IL2RG/VCAM1/ICAM1/ITGAM/MMP1/JAK2/BIRC5/TWIST1/VIM/IL18/IRF4/CCL11/FASLG/CEBPD/NDN/IL12B/OSM/CD36",24
"R-HSA-9020958","Interleukin-21 signaling","6/1055","10/10899",0.000120946872234847,0.00768876544921526,0.00736593733159593,"STAT1/IL21R/JAK3/STAT4/IL2RG/IL21",6
"R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","8/1055","18/10899",0.000135418718048907,0.00821745402705867,0.00787242786743646,"TNFRSF13C/BIRC3/CD40LG/LTB/LTA/CD40/TNFRSF12A/TNFSF13B",8
"R-HSA-5660526","Response to metal ions","7/1055","14/10899",0.000145414545617808,0.00844036601738146,0.00808598045426255,"MT1X/MT1M/MT1A/MT1G/MT2A/MT1E/MT1F",7
